                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.01250000          2.50000000          0.06250000          0.01250000
          0.02500000          2.75000000          0.05867182          0.01562500
          0.03750000          2.78125000          0.08649279          0.01997070
          0.05000000          2.65625000          0.07016561          0.02091064
          0.06250000          2.88378906          0.09039070          0.02515106
          0.07500000          2.85748291          0.07751439          0.02262402
          0.08750000          2.74936676          0.09392042          0.02859311
          0.10000000          2.94928598          0.08296664          0.02566018
          0.11250000          2.85955763          0.07720503          0.02680018
          0.12500000          2.88011977          0.08733101          0.02914107
          0.13750000          2.97038200          0.08041852          0.02930611
          0.15000000          2.89653828          0.09098928          0.03108806
          0.16250000          2.94869515          0.08328770          0.03110580
          0.17500000          2.94126323          0.09415081          0.03384690
          0.18750000          3.00926158          0.10445166          0.03546781
          0.20000000          2.96544527          0.09694279          0.03620740
          0.21250000          3.03278787          0.10649795          0.03639976
          0.22500000          3.01990552          0.09944843          0.03771235
          0.23750000          2.98803460          0.10838888          0.03884558
          0.25000000          3.08594883          0.10172520          0.03932433
          0.26250000          2.98219862          0.11014825          0.04076828
          0.27500000          3.09283354          0.10381455          0.04051745
          0.28750000          3.04349094          0.11179472          0.04261180
          0.30000000          3.10396492          0.10574739          0.04160910
          0.31250000          3.09193147          0.12829589          0.04794414
          0.32500000          3.09801085          0.10754741          0.04299414
          0.33750000          3.12725613          0.11480576          0.04557200
          0.35000000          3.07053752          0.10923319          0.04430884
          0.36250000          3.16551946          0.13090242          0.05026053
          0.37500000          3.07912606          0.11081957          0.04543404
          0.38750000          3.17043012          0.11751116          0.04778032
          0.40000000          3.12171097          0.11231863          0.04634303
          0.41250000          3.16154344          0.13326399          0.05282295
          0.42500000          3.16637804          0.11374030          0.04743989
          0.43750000          3.16683046          0.13436802          0.05421380
          0.45000000          3.19343745          0.11509288          0.04851258
          0.46250000          3.17791191          0.13542719          0.05541597
          0.47500000          3.21052733          0.11638338          0.04940891
          0.48750000          3.19537519          0.13644542          0.05648280
          0.50000000          3.20890150          0.11761774          0.05092777
          0.51250000          3.19854767          0.13742612          0.05733369
          0.52500000          3.20757875          0.11880110          0.05236400
          0.53750000          3.19992342          0.12432802          0.05432283
          0.55000000          3.24335126          0.11993788          0.05371819
          0.56250000          3.21929725          0.12532067          0.05494302
          0.57500000          3.26417994          0.12103194          0.05487430
          0.58750000          3.22542721          0.11065978          0.05190864
          0.60000000          3.28226079          0.12208668          0.05589477
          0.61250000          3.22962634          0.11169492          0.05279366
          0.62500000          3.28795583          0.12310509          0.05672067
          0.63750000          3.25815115          0.11269713          0.05377356
          0.65000000          3.28420675          0.12408983          0.05748731
          0.66250000          3.29399349          0.11366862          0.05465835
          0.67500000          3.26947239          0.12504325          0.05844637
          0.68750000          3.31731744          0.11461138          0.05538776
          0.70000000          3.25721727          0.12596747          0.05928070
          0.71250000          3.33403677          0.11552722          0.05604365
          0.72500000          3.25238240          0.12686440          0.06004005
          0.73750000          3.34021638          0.11641775          0.05687454
          0.75000000          3.27749692          0.12773576          0.06079528
          0.76250000          3.33617594          0.11728447          0.05794371
          0.77500000          3.31161089          0.12858310          0.06170526
          0.78750000          3.33635732          0.11812872          0.05898137
          0.80000000          3.33567380          0.12940785          0.06247671
          0.81250000          3.34291234          0.11895176          0.05988331
          0.82500000          3.35108476          0.13021129          0.06318421
          0.83750000          3.34621616          0.11975471          0.06069023
          0.85000000          3.35755263          0.13099460          0.06393592
          0.86250000          3.34181170          0.12053863          0.06136684
          0.87500000          3.36360370          0.13175886          0.06482852
          0.88750000          3.35253568          0.12130446          0.06192057
          0.90000000          3.38284369          0.13250506          0.06564705
          0.91250000          3.35710326          0.12205311          0.06256371
          0.92500000          3.39631218          0.13323411          0.06635411
          0.93750000          3.35394472          0.12278538          0.06345937
          0.95000000          3.40442160          0.13394685          0.06695916
          0.96250000          3.35173185          0.12350203          0.06427827
          0.97500000          3.40563635          0.13464407          0.06745459
          0.98750000          3.37132992          0.12420378          0.06522267
          1.00000000          3.40005282          0.13532652          0.06788194
          1.01250000          3.39567640          0.12489130          0.06610190
          1.02500000          3.40065717          0.13599488          0.06840419
          1.03750000          3.41391998          0.12556521          0.06688158
          1.05000000          3.40933055          0.13664980          0.06885633
          1.06250000          3.42590427          0.12622611          0.06756166
          1.07500000          3.41781579          0.13729187          0.06922782
          1.08750000          3.43142092          0.12687457          0.06818370
          1.10000000          3.42644455          0.13792165          0.06975285
          1.11250000          3.43059064          0.12751110          0.06884568
          1.12500000          3.43883335          0.13853962          0.07054837
          1.13750000          3.43044416          0.12813616          0.06950273
          1.15000000          3.44595556          0.13914625          0.07141211
          1.16250000          3.43317743          0.12875021          0.07008297
          1.17500000          3.44767137          0.13974193          0.07222909
          1.18750000          3.44437680          0.12935362          0.07058029
          1.20000000          3.44367136          0.14032707          0.07302755
          1.21250000          3.45428834          0.12994676          0.07099653
          1.22500000          3.43947269          0.14090203          0.07383873
          1.23750000          3.47036794          0.13052996          0.07136834
          1.25000000          3.44255069          0.14146715          0.07462074
          1.26250000          3.48210321          0.13110354          0.07185869
          1.27500000          3.45249196          0.14202280          0.07533127
          1.28750000          3.48867825          0.13166780          0.07236222
          1.30000000          3.45759237          0.14256933          0.07596205
          1.31250000          3.49570568          0.13222306          0.07302365
          1.32500000          3.45788004          0.14310708          0.07651277
          1.33750000          3.50056470          0.13276961          0.07371336
          1.35000000          3.45995488          0.14363642          0.07701111
          1.36250000          3.50865192          0.13330778          0.07440395
          1.37500000          3.47602241          0.14415770          0.07751504
          1.38750000          3.51250755          0.13383789          0.07502510
          1.40000000          3.49217535          0.14467127          0.07809627
          1.41250000          3.51212483          0.13436026          0.07557601
          1.42500000          3.50726795          0.14517746          0.07867554
          1.43750000          3.50753992          0.13487521          0.07608756
          1.45000000          3.51833409          0.14567656          0.07920109
          1.46250000          3.49891693          0.13538306          0.07656158
          1.47500000          3.53223572          0.14616887          0.07977417
          1.48750000          3.48983029          0.13588410          0.07703559
          1.50000000          3.54218537          0.14665462          0.08028347
          1.51250000          3.49135871          0.13637860          0.07744717
          1.52500000          3.54818745          0.14713400          0.08078985
          1.53750000          3.49154768          0.13686681          0.07779874
          1.55000000          3.55028221          0.14760718          0.08145754
          1.56250000          3.49828502          0.13734893          0.07821367
          1.57500000          3.55083066          0.14807429          0.08207699
          1.58750000          3.51249044          0.13782513          0.07866638
          1.60000000          3.55094501          0.14853540          0.08269170
          1.61250000          3.52813692          0.13829554          0.07915610
          1.62500000          3.54970228          0.14899058          0.08324809
          1.63750000          3.54016207          0.13876024          0.07962521
          1.65000000          3.55044394          0.14943988          0.08374596
          1.66250000          3.55035270          0.13921931          0.08005424
          1.67500000          3.55195756          0.14988330          0.08419123
          1.68750000          3.55823545          0.13967278          0.08057740
          1.70000000          3.55164711          0.15032088          0.08459756
          1.71250000          3.56598009          0.14012065          0.08110517
          1.72500000          3.55306554          0.15075264          0.08502538
          1.73750000          3.57176232          0.14056294          0.08157946
          1.75000000          3.55597518          0.15117863          0.08563573
