                   x         u_numerical        u_analytical
         -0.95000000         -0.19761472          0.00000000
         -0.85000000         -0.15282614          0.00000000
         -0.75000000          0.03547505          0.00000000
         -0.65000000          0.30905179          0.00000000
         -0.55000000          0.56484609          0.00000000
         -0.45000000          0.72824339          1.00000000
         -0.35000000          0.80827531          1.00000000
         -0.25000000          0.87580957          1.00000000
         -0.15000000          0.98470116          1.00000000
         -0.05000000          1.11696872          1.00000000
          0.05000000          1.19761472          1.00000000
          0.15000000          1.15282614          1.00000000
          0.25000000          0.96452495          1.00000000
          0.35000000          0.69094821          1.00000000
          0.45000000          0.43515391          1.00000000
          0.55000000          0.27175661          0.00000000
          0.65000000          0.19172469          0.00000000
          0.75000000          0.12419043          0.00000000
          0.85000000          0.01529884          0.00000000
          0.95000000         -0.11696872          0.00000000
