                   x         u_numerical        u_analytical
         -0.95000000         -0.05537409          0.00000000
         -0.85000000          0.04532703          0.00000000
         -0.75000000          0.20158779          0.00000000
         -0.65000000          0.39734046          0.00000000
         -0.55000000          0.60417542          0.00000000
         -0.45000000          0.79174637          1.00000000
         -0.35000000          0.93906746          1.00000000
         -0.25000000          1.03873177          1.00000000
         -0.15000000          1.09185389          1.00000000
         -0.05000000          1.09899887          1.00000000
          0.05000000          1.05537409          1.00000000
          0.15000000          0.95467297          1.00000000
          0.25000000          0.79841221          1.00000000
          0.35000000          0.60265954          1.00000000
          0.45000000          0.39582458          1.00000000
          0.55000000          0.20825363          0.00000000
          0.65000000          0.06093254          0.00000000
          0.75000000         -0.03873177          0.00000000
          0.85000000         -0.09185389          0.00000000
          0.95000000         -0.09899887          0.00000000
