                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.05000000          2.00000000          0.15811388          0.05000000
          0.10000000          2.00000000          0.08385255          0.03750000
          0.15000000          2.00000000          0.15949750          0.05937500
          0.20000000          2.00000000          0.10232959          0.04804688
          0.25000000          2.00000000          0.16108916          0.06435547
          0.30000000          2.00000000          0.11083303          0.05357666
          0.35000000          2.00000000          0.16230216          0.06753235
          0.40000000          2.00000000          0.11577654          0.05707512
          0.45000000          2.00000000          0.16321180          0.06974936
          0.50000000          1.99998856          0.11900425          0.05950266
          0.55000000          1.99998856          0.16390519          0.07138202
          0.60000000          1.99995816          0.12126315          0.06128281
          0.65000000          1.99995816          0.16456907          0.07283267
          0.70000000          1.99990604          0.12332996          0.06286709
          0.75000000          1.99990604          0.16524320          0.07420295
          0.80000000          1.99983244          0.12534982          0.06436689
          0.85000000          1.99983244          0.16591435          0.07549314
          0.90000000          1.99973908          0.12728553          0.06578058
          0.95000000          1.99973908          0.16657494          0.07670597
          1.00000000          1.99962803          0.12912414          0.06711029
          1.05000000          1.99962803          0.16722004          0.07784505
          1.10000000          1.99950119          0.13086201          0.06835954
          1.15000000          1.99950119          0.16784623          0.07891433
          1.20000000          1.99936022          0.13249961          0.06953239
          1.25000000          1.99936022          0.16845117          0.07991778
          1.30000000          1.99920649          0.13403952          0.07063304
          1.35000000          1.99920649          0.16903327          0.08085935
          1.40000000          1.99904119          0.13548539          0.07166572
          1.45000000          1.99904119          0.16959155          0.08174285
          1.50000000          1.99886532          0.13684147          0.07263456
          1.55000000          1.99886532          0.17012548          0.08257194
          1.60000000          1.99867976          0.13811230          0.07354351
          1.65000000          1.99867976          0.17063493          0.08335010
          1.70000000          1.99848529          0.13930251          0.07439639
          1.75000000          1.99848529          0.17112002          0.08408063
          1.80000000          1.99828258          0.14041671          0.07519679
          1.85000000          1.99828258          0.17158112          0.08476663
          1.90000000          1.99807225          0.14145940          0.07594813
          1.95000000          1.99807225          0.17201875          0.08541103
          2.00000000          1.99785487          0.14243495          0.07665361
          2.05000000          1.99785487          0.17243357          0.08601658
          2.10000000          1.99763093          0.14334753          0.07731626
          2.15000000          1.99763093          0.17282633          0.08658585
          2.20000000          1.99740090          0.14420111          0.07793890
          2.25000000          1.99740090          0.17319782          0.08712126
          2.30000000          1.99716522          0.14499946          0.07852420
          2.35000000          1.99716522          0.17354892          0.08762506
          2.40000000          1.99692426          0.14574615          0.07907464
          2.45000000          1.99692426          0.17388049          0.08809936
          2.50000000          1.99667841          0.14644452          0.07959254
          2.55000000          1.99667841          0.17419343          0.08854612
          2.60000000          1.99642799          0.14709772          0.08008007
          2.65000000          1.99642799          0.17448863          0.08896720
          2.70000000          1.99617333          0.14770873          0.08053926
          2.75000000          1.99617333          0.17476696          0.08936432
          2.80000000          1.99591470          0.14828032          0.08097202
          2.85000000          1.99591470          0.17502928          0.08973906
          2.90000000          1.99565239          0.14881508          0.08138011
          2.95000000          1.99565239          0.17527645          0.09009294
          3.00000000          1.99538664          0.14931545          0.08176517
          3.05000000          1.99538664          0.17550928          0.09042736
          3.10000000          1.99511769          0.14978372          0.08212876
          3.15000000          1.99511769          0.17572855          0.09074361
          3.20000000          1.99484576          0.15022200          0.08247232
          3.25000000          1.99484576          0.17593503          0.09104291
          3.30000000          1.99457105          0.15063231          0.08279718
          3.35000000          1.99457105          0.17612946          0.09132641
          3.40000000          1.99429375          0.15101648          0.08310459
          3.45000000          1.99429375          0.17631252          0.09159515
          3.50000000          1.99401404          0.15137628          0.08339574
          3.55000000          1.99401404          0.17648488          0.09185013
          3.60000000          1.99373209          0.15171331          0.08367171
          3.65000000          1.99373209          0.17664718          0.09209228
          3.70000000          1.99344805          0.15202910          0.08393351
          3.75000000          1.99344805          0.17680002          0.09232245
          3.80000000          1.99316206          0.15232507          0.08418210
          3.85000000          1.99316206          0.17694397          0.09254144
          3.90000000          1.99287425          0.15260254          0.08441836
          3.95000000          1.99287425          0.17707957          0.09275001
          4.00000000          1.99258476          0.15286275          0.08464312
          4.05000000          1.99258476          0.17720735          0.09294885
          4.10000000          1.99229369          0.15310685          0.08485715
          4.15000000          1.99229369          0.17732778          0.09313861
          4.20000000          1.99200117          0.15333592          0.08506117
          4.25000000          1.99200117          0.17744131          0.09331991
          4.30000000          1.99170728          0.15355096          0.08525585
          4.35000000          1.99170728          0.17754839          0.09349331
          4.40000000          1.99141212          0.15375292          0.08544182
          4.45000000          1.99141212          0.17764942          0.09365935
          4.50000000          1.99111579          0.15394267          0.08561965
          4.55000000          1.99111579          0.17774478          0.09381850
          4.60000000          1.99081836          0.15412102          0.08578990
          4.65000000          1.99081836          0.17783483          0.09397124
          4.70000000          1.99051991          0.15428874          0.08595308
          4.75000000          1.99051991          0.17791992          0.09411800
          4.80000000          1.99022052          0.15444655          0.08610966
          4.85000000          1.99022052          0.17800036          0.09425917
          4.90000000          1.98992024          0.15459511          0.08626007
          4.95000000          1.98992024          0.17807644          0.09439513
          5.00000000          1.98961915          0.15473504          0.08640474
          5.05000000          1.98961915          0.17814846          0.09452624
          5.10000000          1.98931729          0.15486692          0.08654404
          5.15000000          1.98931729          0.17821667          0.09465280
          5.20000000          1.98901473          0.15499128          0.08667834
          5.25000000          1.98901473          0.17828133          0.09477514
          5.30000000          1.98871152          0.15510864          0.08680798
          5.35000000          1.98871152          0.17834266          0.09489352
          5.40000000          1.98840770          0.15521947          0.08693326
          5.45000000          1.98840770          0.17840088          0.09500822
          5.50000000          1.98810331          0.15532420          0.08705447
          5.55000000          1.98810331          0.17845620          0.09511949
          5.60000000          1.98779840          0.15542324          0.08717190
          5.65000000          1.98779840          0.17850880          0.09522754
          5.70000000          1.98749301          0.15551698          0.08728578
          5.75000000          1.98749301          0.17855887          0.09533261
          5.80000000          1.98718717          0.15560577          0.08739637
          5.85000000          1.98718717          0.17860657          0.09543488
          5.90000000          1.98688091          0.15568994          0.08750387
          5.95000000          1.98688091          0.17865206          0.09553454
          6.00000000          1.98657427          0.15576981          0.08760850
          6.05000000          1.98657427          0.17869548          0.09563177
          6.10000000          1.98626727          0.15584567          0.08771045
          6.15000000          1.98626727          0.17873698          0.09572674
          6.20000000          1.98595995          0.15591779          0.08780989
          6.25000000          1.98595995          0.17877667          0.09581958
          6.30000000          1.98565233          0.15598641          0.08790700
          6.35000000          1.98565233          0.17881469          0.09591045
          6.40000000          1.98534442          0.15605178          0.08800193
          6.45000000          1.98534442          0.17885114          0.09599948
          6.50000000          1.98503626          0.15611412          0.08809483
          6.55000000          1.98503626          0.17888613          0.09608678
          6.60000000          1.98472787          0.15617362          0.08818583
          6.65000000          1.98472787          0.17891976          0.09617248
          6.70000000          1.98441925          0.15623048          0.08827505
          6.75000000          1.98441925          0.17895211          0.09625668
          6.80000000          1.98411044          0.15628489          0.08836263
          6.85000000          1.98411044          0.17898327          0.09633947
          6.90000000          1.98380144          0.15633700          0.08844866
          6.95000000          1.98380144          0.17901333          0.09642097
          7.00000000          1.98349228          0.15638697          0.08853325
          7.05000000          1.98349228          0.17904236          0.09650124
          7.10000000          1.98318296          0.15643494          0.08861650
          7.15000000          1.98318296          0.17907042          0.09658038
          7.20000000          1.98287351          0.15648106          0.08869849
          7.25000000          1.98287351          0.17909759          0.09665845
          7.30000000          1.98256393          0.15652544          0.08877931
          7.35000000          1.98256393          0.17912392          0.09673553
          7.40000000          1.98225423          0.15656821          0.08885904
          7.45000000          1.98225423          0.17914947          0.09681169
          7.50000000          1.98194443          0.15660948          0.08893774
          7.55000000          1.98194443          0.17917430          0.09688698
          7.60000000          1.98163454          0.15664934          0.08901550
          7.65000000          1.98163454          0.17919845          0.09696147
          7.70000000          1.98132456          0.15668789          0.08909236
          7.75000000          1.98132456          0.17922197          0.09703520
          7.80000000          1.98101451          0.15672523          0.08916840
          7.85000000          1.98101451          0.17924491          0.09710823
          7.90000000          1.98070439          0.15676143          0.08924365
          7.95000000          1.98070439          0.17926730          0.09718060
          8.00000000          1.98039421          0.15679658          0.08931819
