                   x         u_numerical        u_analytical
         -0.97500000          0.00000186          0.00000000
         -0.92500000          0.00000187          0.00000000
         -0.87500000          0.00000221          0.00000000
         -0.82500000          0.00000473          0.00000000
         -0.77500000          0.00002020          0.00000000
         -0.72500000          0.00011141          0.00000000
         -0.67500000          0.00064157          0.00000000
         -0.62500000          0.00370754          0.00000000
         -0.57500000          0.02144336          0.00000000
         -0.52500000          0.12439658          0.00000000
         -0.47500000          0.38203987          1.00000000
         -0.42500000          0.65707861          1.00000000
         -0.37500000          0.90337707          1.00000000
         -0.32500000          0.98340180          1.00000000
         -0.27500000          0.99714699          1.00000000
         -0.22500000          0.99950970          1.00000000
         -0.17500000          0.99991536          1.00000000
         -0.12500000          0.99998468          1.00000000
         -0.07500000          0.99999635          1.00000000
         -0.02500000          0.99999820          1.00000000
          0.02500000          0.99999843          1.00000000
          0.07500000          0.99999843          1.00000000
          0.12500000          0.99999813          1.00000000
          0.17500000          0.99999587          1.00000000
          0.22500000          0.99998186          1.00000000
          0.27500000          0.99989933          1.00000000
          0.32500000          0.99941768          1.00000000
          0.37500000          0.99661152          1.00000000
          0.42500000          0.98026176          1.00000000
          0.47500000          0.88498221          1.00000000
          0.52500000          0.62068024          0.00000000
          0.57500000          0.33179369          0.00000000
          0.62500000          0.08140932          0.00000000
          0.67500000          0.01396972          0.00000000
          0.72500000          0.00239799          0.00000000
          0.77500000          0.00041229          0.00000000
          0.82500000          0.00007167          0.00000000
          0.87500000          0.00001341          0.00000000
          0.92500000          0.00000359          0.00000000
          0.97500000          0.00000204          0.00000000
