                   x         u_numerical        u_analytical
         -0.97500000          0.00000010          0.00000000
         -0.92500000          0.00000022          0.00000000
         -0.87500000          0.00000123          0.00000000
         -0.82500000          0.00000808          0.00000000
         -0.77500000          0.00005185          0.00000000
         -0.72500000          0.00032472          0.00000000
         -0.67500000          0.00199734          0.00000000
         -0.62500000          0.01211528          0.00000000
         -0.57500000          0.07269704          0.00000000
         -0.52500000          0.33511394          0.00000000
         -0.47500000          0.66488606          1.00000000
         -0.42500000          0.92730296          1.00000000
         -0.37500000          0.98788472          1.00000000
         -0.32500000          0.99800266          1.00000000
         -0.27500000          0.99967528          1.00000000
         -0.22500000          0.99994815          1.00000000
         -0.17500000          0.99999192          1.00000000
         -0.12500000          0.99999877          1.00000000
         -0.07500000          0.99999978          1.00000000
         -0.02500000          0.99999990          1.00000000
          0.02500000          0.99999990          1.00000000
          0.07500000          0.99999978          1.00000000
          0.12500000          0.99999877          1.00000000
          0.17500000          0.99999192          1.00000000
          0.22500000          0.99994815          1.00000000
          0.27500000          0.99967528          1.00000000
          0.32500000          0.99800266          1.00000000
          0.37500000          0.98788472          1.00000000
          0.42500000          0.92730296          1.00000000
          0.47500000          0.66488606          1.00000000
          0.52500000          0.33511394          0.00000000
          0.57500000          0.07269704          0.00000000
          0.62500000          0.01211528          0.00000000
          0.67500000          0.00199734          0.00000000
          0.72500000          0.00032472          0.00000000
          0.77500000          0.00005185          0.00000000
          0.82500000          0.00000808          0.00000000
          0.87500000          0.00000123          0.00000000
          0.92500000          0.00000022          0.00000000
          0.97500000          0.00000010          0.00000000
