                Time     Total_Variation            L2_Error
          1.04375000          2.00644531          0.08140549
          1.05000000          2.00648437          0.07574287
          1.05625000          2.00652344          0.08150349
          1.06250000          2.00656250          0.07586570
          1.06875000          2.00660156          0.08160061
          1.07500000          2.00664062          0.07598728
          1.08125000          2.00667969          0.08169687
          1.08750000          2.00671875          0.07610761
          1.09375000          2.00675781          0.08179229
          1.10000000          2.00679687          0.07622674
          1.10625000          2.00683594          0.08188689
          1.11250000          2.00687500          0.07634468
          1.11875000          2.00691406          0.08198067
          1.12500000          2.00695312          0.07646146
          1.13125000          2.00699219          0.08207366
          1.13750000          2.00703125          0.07657711
          1.14375000          2.00707031          0.08216587
          1.15000000          2.00710937          0.07669164
          1.15625000          2.00714844          0.08225731
          1.16250000          2.00718750          0.07680508
          1.16875000          2.00722656          0.08234800
          1.17500000          2.00726562          0.07691746
          1.18125000          2.00730469          0.08243795
          1.18750000          2.00734375          0.07702878
          1.19375000          2.00738281          0.08252717
          1.20000000          2.00742187          0.07713909
          1.20625000          2.00746094          0.07941738
          1.21250000          2.00750000          0.07724838
          1.21875000          2.00753906          0.07951713
          1.22500000          2.00757812          0.07735669
          1.23125000          2.00761719          0.07961603
          1.23750000          2.00765625          0.07746403
          1.24375000          2.00769531          0.07971409
          1.25000000          2.00773437          0.07757043
          1.25625000          2.00777344          0.07981134
          1.26250000          2.00781250          0.07767589
          1.26875000          2.00785156          0.07990779
          1.27500000          2.00789062          0.07778044
          1.28125000          2.00792969          0.08000345
          1.28750000          2.00796875          0.07788409
          1.29375000          2.00800780          0.08009833
          1.30000000          2.00804685          0.07798686
          1.30625000          2.00808589          0.08019246
          1.31250000          2.00812490          0.07808877
          1.31875000          2.00816385          0.08028584
          1.32500000          2.00820268          0.07818983
          1.33125000          2.00824128          0.08037849
          1.33750000          2.00827939          0.07829005
          1.34375000          2.00831657          0.08047041
          1.35000000          2.00835192          0.07838946
          1.35625000          2.00838378          0.08056163
          1.36250000          2.00840906          0.07848806
          1.36875000          2.00842211          0.08065214
          1.37500000          2.00841278          0.07858585
          1.38125000          2.00841278          0.08074194
          1.38750000          2.00840798          0.07868283
          1.39375000          2.00840598          0.08083099
          1.40000000          2.00840300          0.07877891
          1.40625000          2.00840003          0.08091919
          1.41250000          2.00839815          0.07887395
          1.41875000          2.00839443          0.08100633
          1.42500000          2.00839334          0.07896774
