                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.01250000          2.00000000          0.07905694          0.01250000
          0.02500000          2.00000000          0.04192627          0.00937500
          0.03750000          2.00000000          0.07974875          0.01484375
          0.05000000          2.00000000          0.05116479          0.01201172
          0.06250000          2.00000000          0.08054458          0.01608887
          0.07500000          2.00000000          0.05541652          0.01339417
          0.08750000          2.00000000          0.08115108          0.01688309
          0.10000000          2.00000000          0.05788827          0.01426878
          0.11250000          2.00000000          0.08160590          0.01743734
          0.12500000          2.00000000          0.05950212          0.01487567
          0.13750000          2.00000000          0.08195260          0.01784551
          0.15000000          2.00000000          0.06063157          0.01532070
          0.16250000          2.00000000          0.08228453          0.01820817
          0.17500000          2.00000000          0.06166499          0.01571677
          0.18750000          2.00000000          0.08262155          0.01855073
          0.20000000          2.00000000          0.06267474          0.01609172
          0.21250000          2.00000000          0.08295700          0.01887329
          0.22500000          2.00000000          0.06364204          0.01644513
          0.23750000          2.00000000          0.08328713          0.01917652
          0.25000000          2.00000000          0.06456050          0.01677756
          0.26250000          2.00000000          0.08360955          0.01946135
          0.27500000          2.00000000          0.06542854          0.01708991
          0.28750000          2.00000000          0.08392269          0.01972878
          0.30000000          2.00000000          0.06624676          0.01738322
          0.31250000          2.00000000          0.08422551          0.01997980
          0.32500000          2.00000000          0.06701680          0.01765856
          0.33750000          2.00000000          0.08451734          0.02021541
          0.35000000          2.00000000          0.06774079          0.01791699
          0.36250000          2.00000000          0.08479777          0.02043654
          0.37500000          2.00000000          0.06842108          0.01815952
          0.38750000          2.00000000          0.08506660          0.02064407
          0.40000000          2.00000000          0.06906005          0.01838714
          0.41250000          2.00000000          0.08532380          0.02083886
          0.42500000          2.00000000          0.06966008          0.01860077
          0.43750000          2.00000000          0.08556943          0.02102169
          0.45000000          2.00000000          0.07022346          0.01880127
          0.46250000          2.00000000          0.08580366          0.02119331
          0.47500000          2.00000000          0.07075240          0.01898946
          0.48750000          2.00000000          0.08602672          0.02135443
          0.50000000          2.00000000          0.07124898          0.01916612
