                   x         u_numerical        u_analytical
         -0.99687500          0.00009384          0.00000000
         -0.99062500         -0.00000597          0.00000000
         -0.98437500         -0.00013884          0.00000000
         -0.97812500         -0.00022203          0.00000000
         -0.97187500         -0.00017977          0.00000000
         -0.96562500          0.00000209          0.00000000
         -0.95937500          0.00024716          0.00000000
         -0.95312500          0.00041200          0.00000000
         -0.94687500          0.00036091          0.00000000
         -0.94062500          0.00005677          0.00000000
         -0.93437500         -0.00038627          0.00000000
         -0.92812500         -0.00073171          0.00000000
         -0.92187500         -0.00073384          0.00000000
         -0.91562500         -0.00028599          0.00000000
         -0.90937500          0.00047722          0.00000000
         -0.90312500          0.00119584          0.00000000
         -0.89687500          0.00143658          0.00000000
         -0.89062500          0.00092351          0.00000000
         -0.88437500         -0.00026636          0.00000000
         -0.87812500         -0.00165945          0.00000000
         -0.87187500         -0.00254975          0.00000000
         -0.86562500         -0.00232398          0.00000000
         -0.85937500         -0.00080678          0.00000000
         -0.85312500          0.00155017          0.00000000
         -0.84687500          0.00376120          0.00000000
         -0.84062500          0.00468558          0.00000000
         -0.83437500          0.00355501          0.00000000
         -0.82812500          0.00041907          0.00000000
         -0.82187500         -0.00371671          0.00000000
         -0.81562500         -0.00717238          0.00000000
         -0.80937500         -0.00822945          0.00000000
         -0.80312500         -0.00588729          0.00000000
         -0.79687500         -0.00042489          0.00000000
         -0.79062500          0.00649938          0.00000000
         -0.78437500          0.01231062          0.00000000
         -0.77812500          0.01441996          0.00000000
         -0.77187500          0.01125367          0.00000000
         -0.76562500          0.00301691          0.00000000
         -0.75937500         -0.00812896          0.00000000
         -0.75312500         -0.01859846          0.00000000
         -0.74687500         -0.02449143          0.00000000
         -0.74062500         -0.02292978          0.00000000
         -0.73437500         -0.01317127          0.00000000
         -0.72812500          0.00289536          0.00000000
         -0.72187500          0.02107772          0.00000000
         -0.71562500          0.03597003          0.00000000
         -0.70937500          0.04250036          0.00000000
         -0.70312500          0.03747958          0.00000000
         -0.69687500          0.02068971          0.00000000
         -0.69062500         -0.00481716          0.00000000
         -0.68437500         -0.03331051          0.00000000
         -0.67812500         -0.05771404          0.00000000
         -0.67187500         -0.07133052          0.00000000
         -0.66562500         -0.06951440          0.00000000
         -0.65937500         -0.05087593          0.00000000
         -0.65312500         -0.01773402          0.00000000
         -0.64687500          0.02426859          0.00000000
         -0.64062500          0.06727261          0.00000000
         -0.63437500          0.10275925          0.00000000
         -0.62812500          0.12320543          0.00000000
         -0.62187500          0.12349391          0.00000000
         -0.61562500          0.10181784          0.00000000
         -0.60937500          0.05994816          0.00000000
         -0.60312500          0.00287150          0.00000000
         -0.59687500         -0.06207503          0.00000000
         -0.59062500         -0.12636916          0.00000000
         -0.58437500         -0.18154057          0.00000000
         -0.57812500         -0.22027249          0.00000000
         -0.57187500         -0.23721598          0.00000000
         -0.56562500         -0.22943766          0.00000000
         -0.55937500         -0.19649376          0.00000000
         -0.55312500         -0.14018274          0.00000000
         -0.54687500         -0.06406727          0.00000000
         -0.54062500          0.02712807          0.00000000
         -0.53437500          0.12814194          0.00000000
         -0.52812500          0.23374142          0.00000000
         -0.52187500          0.33917182          0.00000000
         -0.51562500          0.44046391          0.00000000
         -0.50937500          0.53459670          0.00000000
         -0.50312500          0.61953239          0.00000000
         -0.49687500          0.69415181          1.00000000
         -0.49062500          0.75812288          1.00000000
         -0.48437500          0.81173375          1.00000000
         -0.47812500          0.85571702          1.00000000
         -0.47187500          0.89108506          1.00000000
         -0.46562500          0.91898908          1.00000000
         -0.45937500          0.94060808          1.00000000
         -0.45312500          0.95706874          1.00000000
         -0.44687500          0.96939385          1.00000000
         -0.44062500          0.97847463          1.00000000
         -0.43437500          0.98506137          1.00000000
         -0.42812500          0.98976723          1.00000000
         -0.42187500          0.99308016          1.00000000
         -0.41562500          0.99537926          1.00000000
         -0.40937500          0.99695261          1.00000000
         -0.40312500          0.99801470          1.00000000
         -0.39687500          0.99872213          1.00000000
         -0.39062500          0.99918721          1.00000000
         -0.38437500          0.99948905          1.00000000
         -0.37812500          0.99968250          1.00000000
         -0.37187500          0.99980495          1.00000000
         -0.36562500          0.99988152          1.00000000
         -0.35937500          0.99992883          1.00000000
         -0.35312500          0.99995772          1.00000000
         -0.34687500          0.99997516          1.00000000
         -0.34062500          0.99998556          1.00000000
         -0.33437500          0.99999169          1.00000000
         -0.32812500          0.99999528          1.00000000
         -0.32187500          0.99999734          1.00000000
         -0.31562500          0.99999852          1.00000000
         -0.30937500          0.99999918          1.00000000
         -0.30312500          0.99999955          1.00000000
         -0.29687500          0.99999976          1.00000000
         -0.29062500          0.99999988          1.00000000
         -0.28437500          0.99999994          1.00000000
         -0.27812500          0.99999996          1.00000000
         -0.27187500          0.99999996          1.00000000
         -0.26562500          0.99999997          1.00000000
         -0.25937500          0.99999999          1.00000000
         -0.25312500          1.00000003          1.00000000
         -0.24687500          1.00000005          1.00000000
         -0.24062500          1.00000003          1.00000000
         -0.23437500          0.99999996          1.00000000
         -0.22812500          0.99999990          1.00000000
         -0.22187500          0.99999991          1.00000000
         -0.21562500          1.00000003          1.00000000
         -0.20937500          1.00000018          1.00000000
         -0.20312500          1.00000022          1.00000000
         -0.19687500          1.00000004          1.00000000
         -0.19062500          0.99999972          1.00000000
         -0.18437500          0.99999953          1.00000000
         -0.17812500          0.99999972          1.00000000
         -0.17187500          1.00000030          1.00000000
         -0.16562500          1.00000088          1.00000000
         -0.15937500          1.00000086          1.00000000
         -0.15312500          0.99999998          1.00000000
         -0.14687500          0.99999867          1.00000000
         -0.14062500          0.99999800          1.00000000
         -0.13437500          0.99999893          1.00000000
         -0.12812500          1.00000134          1.00000000
         -0.12187500          1.00000364          1.00000000
         -0.11562500          1.00000364          1.00000000
         -0.10937500          1.00000028          1.00000000
         -0.10312500          0.99999510          1.00000000
         -0.09687500          0.99999194          1.00000000
         -0.09062500          0.99999453          1.00000000
         -0.08437500          1.00000312          1.00000000
         -0.07812500          1.00001284          1.00000000
