                   x         u_numerical        u_analytical
         -0.97500000          0.00136212          0.00000000
         -0.92500000          0.00138612          0.00000000
         -0.87500000          0.00180905          0.00000000
         -0.82500000          0.00348382          0.00000000
         -0.77500000          0.00821534          0.00000000
         -0.72500000          0.01952817          0.00000000
         -0.67500000          0.04369752          0.00000000
         -0.62500000          0.09028280          0.00000000
         -0.57500000          0.17030966          0.00000000
         -0.52500000          0.29016156          0.00000000
         -0.47500000          0.44298436          1.00000000
         -0.42500000          0.60599374          1.00000000
         -0.37500000          0.75066565          1.00000000
         -0.32500000          0.85845646          1.00000000
         -0.27500000          0.92724535          1.00000000
         -0.22500000          0.96577576          1.00000000
         -0.17500000          0.98511605          1.00000000
         -0.12500000          0.99388217          1.00000000
         -0.07500000          0.99739342          1.00000000
         -0.02500000          0.99853054          1.00000000
          0.02500000          0.99875244          1.00000000
          0.07500000          0.99872572          1.00000000
          0.12500000          0.99831444          1.00000000
          0.17500000          0.99663788          1.00000000
          0.22500000          0.99190092          1.00000000
          0.27500000          0.98061041          1.00000000
          0.32500000          0.95649261          1.00000000
          0.37500000          0.90988961          1.00000000
          0.42500000          0.82954132          1.00000000
          0.47500000          0.70884597          1.00000000
          0.52500000          0.55480718          0.00000000
          0.57500000          0.39082912          0.00000000
          0.62500000          0.24599470          0.00000000
          0.67500000          0.13880049          0.00000000
          0.72500000          0.07089520          0.00000000
          0.77500000          0.03314204          0.00000000
          0.82500000          0.01434244          0.00000000
          0.87500000          0.00590891          0.00000000
          0.92500000          0.00258446          0.00000000
          0.97500000          0.00154202          0.00000000
