                   x         u_numerical        u_analytical
         -0.95000000          0.00300992          0.00000000
         -0.85000000          0.00836924          0.00000000
         -0.75000000          0.03776703          0.00000000
         -0.65000000          0.13668701          0.00000000
         -0.55000000          0.35528576          0.00000000
         -0.45000000          0.64471424          1.00000000
         -0.35000000          0.86331299          1.00000000
         -0.25000000          0.96223297          1.00000000
         -0.15000000          0.99163076          1.00000000
         -0.05000000          0.99699008          1.00000000
          0.05000000          0.99699008          1.00000000
          0.15000000          0.99163076          1.00000000
          0.25000000          0.96223297          1.00000000
          0.35000000          0.86331299          1.00000000
          0.45000000          0.64471424          1.00000000
          0.55000000          0.35528576          0.00000000
          0.65000000          0.13668701          0.00000000
          0.75000000          0.03776703          0.00000000
          0.85000000          0.00836924          0.00000000
          0.95000000          0.00300992          0.00000000
