                Time     Total_Variation            L2_Error            L1_Error
          0.39687500          3.51805452          0.06891253          0.01968764
          0.40000000          3.55697961          0.07426543          0.02069556
          0.40312500          3.53384380          0.06914695          0.01981020
          0.40625000          3.55610655          0.07449217          0.02083822
          0.40937500          3.54593628          0.06937840          0.01993046
          0.41250000          3.55714534          0.07471603          0.02096593
          0.41562500          3.55729502          0.06960699          0.02004139
          0.41875000          3.55891506          0.07493709          0.02107885
          0.42187500          3.56611001          0.06983277          0.02017598
          0.42500000          3.55867557          0.07515541          0.02118141
          0.42812500          3.57428322          0.07005582          0.02031158
          0.43125000          3.56020099          0.07537109          0.02129236
          0.43437500          3.58042741          0.07027622          0.02043370
          0.43750000          3.56427669          0.07558418          0.02144911
          0.44062500          3.58328019          0.07049403          0.02054199
          0.44375000          3.57407099          0.07579476          0.02159351
          0.44687500          3.58289010          0.07070932          0.02066105
          0.45000000          3.58087794          0.07600288          0.02172530
          0.45312500          3.58528507          0.07092215          0.02080047
          0.45625000          3.58722706          0.07620862          0.02185690
          0.45937500          3.59152454          0.07113258          0.02093318
          0.46250000          3.59180153          0.07641202          0.02197958
          0.46562500          3.60009232          0.07134068          0.02105607
          0.46875000          3.59341434          0.07661315          0.02209297
          0.47187500          3.60631622          0.07154649          0.02119171
          0.47500000          3.59223039          0.07681207          0.02219954
          0.47812500          3.60974964          0.07175008          0.02132334
          0.48125000          3.58983485          0.07700882          0.02229433
          0.48437500          3.61215469          0.07195149          0.02147795
          0.48750000          3.58532805          0.07720347          0.02238428
          0.49062500          3.61363992          0.07215077          0.02163550
          0.49375000          3.59174043          0.07739604          0.02246447
          0.49687500          3.61967114          0.07234798          0.02178616
          0.50000000          3.60429659          0.07758661          0.02253297
          0.50312500          3.62643134          0.07254316          0.02192750
          0.50625000          3.61420178          0.07777520          0.02259731
          0.50937500          3.63115340          0.07273635          0.02205763
          0.51250000          3.62180595          0.07796188          0.02267083
          0.51562500          3.63399345          0.07292761          0.02218290
          0.51875000          3.63006085          0.07814667          0.02276816
          0.52187500          3.63563021          0.07311696          0.02229951
          0.52500000          3.63668980          0.07832962          0.02288634
          0.52812500          3.63515482          0.07330446          0.02240501
          0.53125000          3.64193285          0.07851076          0.02301838
