                   x         u_numerical        u_analytical
         -0.98750000          0.00000000          0.00000000
         -0.96250000          0.00000000          0.00000000
         -0.93750000          0.00000000          0.00000000
         -0.91250000          0.00000000          0.00000000
         -0.88750000          0.00000000          0.00000000
         -0.86250000          0.00000000          0.00000000
         -0.83750000          0.00000000          0.00000000
         -0.81250000          0.00000000          0.00000000
         -0.78750000          0.00000000          0.00000000
         -0.76250000          0.00000001          0.00000000
         -0.73750000          0.00000006          0.00000000
         -0.71250000          0.00000034          0.00000000
         -0.68750000          0.00000199          0.00000000
         -0.66250000          0.00001159          0.00000000
         -0.63750000          0.00006755          0.00000000
         -0.61250000          0.00039371          0.00000000
         -0.58750000          0.00229469          0.00000000
         -0.56250000          0.01337443          0.00000000
         -0.53750000          0.07795188          0.00000000
         -0.51250000          0.34409624          0.00000000
         -0.48750000          0.65590376          1.00000000
         -0.46250000          0.92204812          1.00000000
         -0.43750000          0.98662557          1.00000000
         -0.41250000          0.99770531          1.00000000
         -0.38750000          0.99960629          1.00000000
         -0.36250000          0.99993245          1.00000000
         -0.33750000          0.99998841          1.00000000
         -0.31250000          0.99999801          1.00000000
         -0.28750000          0.99999966          1.00000000
         -0.26250000          0.99999994          1.00000000
         -0.23750000          0.99999999          1.00000000
         -0.21250000          1.00000000          1.00000000
         -0.18750000          1.00000000          1.00000000
         -0.16250000          1.00000000          1.00000000
         -0.13750000          1.00000000          1.00000000
         -0.11250000          1.00000000          1.00000000
         -0.08750000          1.00000000          1.00000000
         -0.06250000          1.00000000          1.00000000
         -0.03750000          1.00000000          1.00000000
         -0.01250000          1.00000000          1.00000000
          0.01250000          1.00000000          1.00000000
          0.03750000          1.00000000          1.00000000
          0.06250000          1.00000000          1.00000000
          0.08750000          1.00000000          1.00000000
          0.11250000          1.00000000          1.00000000
          0.13750000          1.00000000          1.00000000
          0.16250000          1.00000000          1.00000000
          0.18750000          1.00000000          1.00000000
          0.21250000          1.00000000          1.00000000
          0.23750000          0.99999999          1.00000000
          0.26250000          0.99999994          1.00000000
          0.28750000          0.99999966          1.00000000
          0.31250000          0.99999801          1.00000000
          0.33750000          0.99998841          1.00000000
          0.36250000          0.99993245          1.00000000
          0.38750000          0.99960629          1.00000000
          0.41250000          0.99770531          1.00000000
          0.43750000          0.98662557          1.00000000
          0.46250000          0.92204812          1.00000000
          0.48750000          0.65590376          1.00000000
          0.51250000          0.34409624          0.00000000
          0.53750000          0.07795188          0.00000000
          0.56250000          0.01337443          0.00000000
          0.58750000          0.00229469          0.00000000
          0.61250000          0.00039371          0.00000000
          0.63750000          0.00006755          0.00000000
          0.66250000          0.00001159          0.00000000
          0.68750000          0.00000199          0.00000000
          0.71250000          0.00000034          0.00000000
          0.73750000          0.00000006          0.00000000
          0.76250000          0.00000001          0.00000000
          0.78750000          0.00000000          0.00000000
          0.81250000          0.00000000          0.00000000
          0.83750000          0.00000000          0.00000000
          0.86250000          0.00000000          0.00000000
          0.88750000          0.00000000          0.00000000
          0.91250000          0.00000000          0.00000000
          0.93750000          0.00000000          0.00000000
          0.96250000          0.00000000          0.00000000
          0.98750000          0.00000000          0.00000000
