                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.00625000          2.50000000          0.05929271          0.00781250
          0.01250000          2.75000000          0.04148724          0.00781250
          0.01875000          2.78125000          0.04587765          0.00834961
          0.02500000          2.65625000          0.04961458          0.01045532
          0.03125000          2.88378906          0.06391588          0.01257553
          0.03750000          2.85748291          0.05481095          0.01131201
          0.04375000          2.74936676          0.05201519          0.01259161
          0.05000000          2.94928598          0.05866627          0.01283009
          0.05625000          2.85955763          0.06860148          0.01512595
          0.06250000          2.88011977          0.06175235          0.01457053
          0.06875000          2.97038200          0.07054042          0.01639544
          0.07500000          2.89653828          0.06433914          0.01554403
          0.08125000          2.94869515          0.05889330          0.01555290
          0.08750000          2.94126323          0.06657468          0.01692345
          0.09375000          3.00926158          0.07385848          0.01773391
          0.10000000          2.96544527          0.06854891          0.01810370
          0.10625000          3.03278787          0.06239915          0.01642262
          0.11250000          3.01990552          0.07032066          0.01885618
          0.11875000          2.98803460          0.07664251          0.01942279
          0.12500000          3.08594883          0.07193058          0.01966217
          0.13125000          2.98219862          0.06536657          0.01859061
          0.13750000          3.09283354          0.07340797          0.02025872
          0.14375000          3.04349094          0.07905081          0.02130590
          0.15000000          3.10396492          0.07477469          0.02080455
          0.15625000          3.09193147          0.09071890          0.02397207
          0.16250000          3.09801085          0.07604750          0.02149707
          0.16875000          3.12725613          0.08117993          0.02278600
          0.17500000          3.07053753          0.07723953          0.02215442
          0.18125000          3.16551952          0.08216038          0.02331287
          0.18750000          3.07912631          0.07836127          0.02271702
          0.19375000          3.17043038          0.08309294          0.02389016
          0.20000000          3.12171126          0.07942126          0.02317152
          0.20625000          3.16154368          0.09423187          0.02641148
          0.21250000          3.16637832          0.08042654          0.02371994
          0.21875000          3.16683115          0.09501254          0.02710690
          0.22500000          3.19343921          0.08138296          0.02425630
          0.23125000          3.17791345          0.08564886          0.02587346
          0.23750000          3.21053044          0.08229547          0.02470446
          0.24375000          3.19537869          0.08643229          0.02640327
          0.25000000          3.20890537          0.08316830          0.02546389
          0.25625000          3.19855291          0.08718628          0.02682533
          0.26250000          3.20758363          0.08400506          0.02618202
          0.26875000          3.19992848          0.08791319          0.02716143
          0.27500000          3.24335795          0.08480888          0.02685911
          0.28125000          3.21930422          0.08861509          0.02747155
          0.28750000          3.26418834          0.08558251          0.02743719
          0.29375000          3.22543958          0.07824828          0.02595438
          0.30000000          3.28227331          0.08632832          0.02794749
          0.30625000          3.22964355          0.07898023          0.02639694
          0.31250000          3.28798687          0.08704845          0.02836048
          0.31875000          3.25817852          0.07968890          0.02688694
          0.32500000          3.28424692          0.08774476          0.02874385
          0.33125000          3.29405816          0.08037585          0.02732935
          0.33750000          3.26952949          0.08841893          0.02922337
          0.34375000          3.31740050          0.08104248          0.02769411
          0.35000000          3.25731899          0.08907245          0.02964058
          0.35625000          3.33415279          0.08169008          0.02802203
          0.36250000          3.25247455          0.08970668          0.03002031
          0.36875000          3.34035038          0.08231978          0.02843760
          0.37500000          3.27763118          0.09032282          0.03039791
          0.38125000          3.33628041          0.08293264          0.02897229
          0.38750000          3.31176416          0.09092199          0.03085324
          0.39375000          3.33651428          0.08352963          0.02949129
