                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.05000000          2.00000000          0.15811388          0.05000000
          0.10000000          2.00000000          0.08385255          0.03750000
          0.15000000          2.00000000          0.16020512          0.06153846
          0.20000000          2.00000000          0.10592858          0.05048077
          0.25000000          2.00000000          0.16329101          0.06908144
          0.30000000          2.00000000          0.11813352          0.05885923
          0.35000000          2.00000000          0.16621993          0.07484010
          0.40000000          2.00000000          0.12649762          0.06519622
          0.45000000          2.00000000          0.16887174          0.07956352
          0.50000000          1.99998031          0.13285076          0.07035710
          0.55000000          1.99998031          0.17126549          0.08360194
          0.60000000          1.99991595          0.13797419          0.07474466
          0.65000000          1.99991595          0.17343901          0.08714947
          0.70000000          1.99978385          0.14226999          0.07858109
          0.75000000          1.99978385          0.17542747          0.09032585
          0.80000000          1.99956526          0.14597165          0.08200283
          0.85000000          1.99956526          0.17725984          0.09321046
          0.90000000          1.99924606          0.14922624          0.08509999
          0.95000000          1.99924606          0.17895922          0.09585884
          1.00000000          1.99881623          0.15213199          0.08793535
          1.05000000          1.99881623          0.18054390          0.09831142
          1.10000000          1.99826920          0.15475747          0.09055445
          1.15000000          1.99826920          0.18202850          0.10059865
          1.20000000          1.99760114          0.15715232          0.09299147
          1.25000000          1.99760114          0.18342475          0.10274410
          1.30000000          1.99681038          0.15935356          0.09527274
          1.35000000          1.99681038          0.18474226          0.10476641
          1.40000000          1.99589688          0.16138956          0.09741907
          1.45000000          1.99589688          0.18598898          0.10668065
          1.50000000          1.99486188          0.16328252          0.09944719
          1.55000000          1.99486188          0.18717158          0.10849921
          1.60000000          1.99370753          0.16505022          0.10137082
          1.65000000          1.99370753          0.18829576          0.11023241
          1.70000000          1.99243669          0.16670712          0.10320136
          1.75000000          1.99243669          0.18936640          0.11188897
          1.80000000          1.99105271          0.16826523          0.10494843
          1.85000000          1.99105271          0.19038781          0.11347633
          1.90000000          1.98955927          0.16973460          0.10662023
          1.95000000          1.98955927          0.19136376          0.11500092
          2.00000000          1.98796030          0.17112379          0.10822379
          2.05000000          1.98796030          0.19229760          0.11646831
          2.10000000          1.98625985          0.17244019          0.10976525
          2.15000000          1.98625985          0.19319237          0.11788342
          2.20000000          1.98446204          0.17369019          0.11124997
          2.25000000          1.98446204          0.19405078          0.11925056
          2.30000000          1.98257100          0.17487942          0.11268266
          2.35000000          1.98257100          0.19487533          0.12057356
          2.40000000          1.98059085          0.17601285          0.11406751
          2.45000000          1.98059085          0.19566826          0.12185585
          2.50000000          1.97852563          0.17709489          0.11540827
          2.55000000          1.97852563          0.19643167          0.12310048
          2.60000000          1.97637930          0.17812950          0.11670825
          2.65000000          1.97637930          0.19716747          0.12431023
          2.70000000          1.97415576          0.17912025          0.11797049
          2.75000000          1.97415576          0.19787742          0.12548758
          2.80000000          1.97185874          0.18007036          0.11919768
          2.85000000          1.97185874          0.19856318          0.12663480
          2.90000000          1.96949191          0.18098275          0.12039228
          2.95000000          1.96949191          0.19922625          0.12775395
          3.00000000          1.96705877          0.18186008          0.12155654
          3.05000000          1.96705877          0.19986806          0.12884689
          3.10000000          1.96456273          0.18270481          0.12269249
          3.15000000          1.96456273          0.20048992          0.12991534
          3.20000000          1.96200706          0.18351916          0.12380199
          3.25000000          1.96200706          0.20109307          0.13096088
          3.30000000          1.95939488          0.18430518          0.12488674
          3.35000000          1.95939488          0.20167867          0.13198495
          3.40000000          1.95672922          0.18506478          0.12594832
          3.45000000          1.95672922          0.20224778          0.13298887
          3.50000000          1.95401295          0.18579970          0.12698817
          3.55000000          1.95401295          0.20280143          0.13397387
          3.60000000          1.95124885          0.18651157          0.12800761
          3.65000000          1.95124885          0.20334055          0.13494108
          3.70000000          1.94843956          0.18720188          0.12900786
          3.75000000          1.94843956          0.20386603          0.13589154
          3.80000000          1.94558760          0.18787202          0.12999007
          3.85000000          1.94558760          0.20437872          0.13682623
          3.90000000          1.94269539          0.18852329          0.13095529
          3.95000000          1.94269539          0.20487938          0.13774605
          4.00000000          1.93976523          0.18915689          0.13190448
          4.05000000          1.93976523          0.20536876          0.13865183
          4.10000000          1.93679933          0.18977396          0.13283856
          4.15000000          1.93679933          0.20584755          0.13954434
          4.20000000          1.93379978          0.19037552          0.13375836
          4.25000000          1.93379978          0.20631641          0.14042431
          4.30000000          1.93076858          0.19096257          0.13466466
          4.35000000          1.93076858          0.20677594          0.14129241
          4.40000000          1.92770764          0.19153601          0.13555821
          4.45000000          1.92770764          0.20722672          0.14214927
          4.50000000          1.92461877          0.19209670          0.13643967
          4.55000000          1.92461877          0.20766930          0.14299548
          4.60000000          1.92150370          0.19264544          0.13730969
          4.65000000          1.92150370          0.20810419          0.14383159
          4.70000000          1.91836408          0.19318298          0.13816886
          4.75000000          1.91836408          0.20853188          0.14465810
          4.80000000          1.91520147          0.19371001          0.13901772
          4.85000000          1.91520147          0.20895280          0.14547551
          4.90000000          1.91201737          0.19422720          0.13985682
          4.95000000          1.91201737          0.20936741          0.14628425
          5.00000000          1.90881319          0.19473517          0.14068662
          5.05000000          1.90881319          0.20977609          0.14708476
          5.10000000          1.90559028          0.19523448          0.14150759
          5.15000000          1.90559028          0.21017924          0.14787742
          5.20000000          1.90234993          0.19572570          0.14232016
          5.25000000          1.90234993          0.21057721          0.14866261
          5.30000000          1.89909334          0.19620932          0.14312473
          5.35000000          1.89909334          0.21097033          0.14944068
          5.40000000          1.89582169          0.19668583          0.14392167
          5.45000000          1.89582169          0.21135894          0.15021195
          5.50000000          1.89253607          0.19715567          0.14471134
          5.55000000          1.89253607          0.21174333          0.15097674
          5.60000000          1.88923753          0.19761928          0.14549408
          5.65000000          1.88923753          0.21212379          0.15173533
          5.70000000          1.88592707          0.19807704          0.14627019
          5.75000000          1.88592707          0.21250058          0.15248800
          5.80000000          1.88260562          0.19852934          0.14703998
          5.85000000          1.88260562          0.21287396          0.15323500
          5.90000000          1.87927408          0.19897653          0.14780372
          5.95000000          1.87927408          0.21324417          0.15397657
          6.00000000          1.87593332          0.19941895          0.14856167
          6.05000000          1.87593332          0.21361143          0.15471295
          6.10000000          1.87258413          0.19985689          0.14931409
          6.15000000          1.87258413          0.21397596          0.15544435
          6.20000000          1.86922728          0.20029066          0.15006120
          6.25000000          1.86922728          0.21433795          0.15617097
          6.30000000          1.86586350          0.20072053          0.15080322
          6.35000000          1.86586350          0.21469760          0.15689300
          6.40000000          1.86249349          0.20114677          0.15154037
          6.45000000          1.86249349          0.21505508          0.15761063
          6.50000000          1.85911790          0.20156962          0.15227283
          6.55000000          1.85911790          0.21541056          0.15832403
          6.60000000          1.85573736          0.20198930          0.15300079
          6.65000000          1.85573736          0.21576420          0.15903335
          6.70000000          1.85235245          0.20240605          0.15372442
          6.75000000          1.85235245          0.21611615          0.15973874
          6.80000000          1.84896373          0.20282006          0.15444390
          6.85000000          1.84896373          0.21646656          0.16044037
          6.90000000          1.84557175          0.20323152          0.15515937
          6.95000000          1.84557175          0.21681554          0.16113835
          7.00000000          1.84217699          0.20364062          0.15587099
          7.05000000          1.84217699          0.21716323          0.16183281
          7.10000000          1.83877995          0.20404752          0.15657889
          7.15000000          1.83877995          0.21750975          0.16252389
          7.20000000          1.83538108          0.20445239          0.15728320
          7.25000000          1.83538108          0.21785520          0.16321169
          7.30000000          1.83198080          0.20485539          0.15798405
          7.35000000          1.83198080          0.21819969          0.16389633
          7.40000000          1.82857952          0.20525664          0.15868156
          7.45000000          1.82857952          0.21854332          0.16457790
          7.50000000          1.82517764          0.20565629          0.15937584
          7.55000000          1.82517764          0.21888618          0.16525651
          7.60000000          1.82177551          0.20605446          0.16006699
          7.65000000          1.82177551          0.21922835          0.16593224
          7.70000000          1.81837348          0.20645126          0.16075511
          7.75000000          1.81837348          0.21956993          0.16660519
          7.80000000          1.81497189          0.20684682          0.16144030
          7.85000000          1.81497189          0.21991098          0.16727544
          7.90000000          1.81157105          0.20724124          0.16212266
          7.95000000          1.81157105          0.22025157          0.16794307
          8.00000000          1.80817125          0.20763460          0.16280225
