                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.05000000          2.00000000          0.15811388          0.05000000
          0.10000000          2.00000000          0.08385255          0.03750000
          0.15000000          2.00000000          0.16020512          0.06153846
          0.20000000          2.00000000          0.10592858          0.05048077
          0.25000000          2.00000000          0.16329101          0.06908144
          0.30000000          2.00000000          0.11813423          0.05891039
          0.35000000          2.00000000          0.16624239          0.07521022
          0.40000000          2.00000000          0.12692405          0.06653450
          0.45000000          2.00000000          0.17093467          0.08267374
          0.50000000          1.99998031          0.14323485          0.07613510
          0.55000000          1.99997787          0.18540941          0.09112104
          0.60000000          1.99991417          0.14302789          0.07797032
          0.65000000          1.99990582          0.18628452          0.09308348
          0.70000000          1.99977618          0.14627958          0.08077961
          0.75000000          1.99975869          0.18751574          0.09561099
          0.80000000          1.99954853          0.14956375          0.08388448
          0.85000000          1.99951881          0.18877572          0.09819449
          0.90000000          1.99920873          0.15251660          0.08682499
          0.95000000          1.99915986          0.17180158          0.09404950
          1.00000000          1.99877873          0.15518340          0.08954734
          1.05000000          1.99870694          0.17363816          0.09651461
          1.10000000          1.99823558          0.15761370          0.09207901
          1.15000000          1.99808562          0.17534329          0.09884384
          1.20000000          1.99753393          0.15984714          0.09452889
          1.25000000          1.99733263          0.17694612          0.10124235
          1.30000000          1.99669628          0.16198299          0.09728627
          1.35000000          1.99644998          0.17870614          0.10433511
          1.40000000          1.99572772          0.16499727          0.10116084
          1.45000000          1.99543926          0.18439600          0.10939190
          1.50000000          1.99463146          0.17455647          0.10687510
          1.55000000          1.99430265          0.17836564          0.10869450
          1.60000000          1.99341072          0.17204818          0.10663712
          1.65000000          1.99304316          0.17706373          0.10850909
          1.70000000          1.99206743          0.17241143          0.10711705
          1.75000000          1.99166321          0.17797461          0.10943114
          1.80000000          1.99062774          0.17362998          0.10836291
          1.85000000          1.99018284          0.17916622          0.11082906
          1.90000000          1.98893366          0.17489009          0.10985147
          1.95000000          1.98849035          0.18032608          0.11232416
          2.00000000          1.98742194          0.17609818          0.11134961
          2.05000000          1.98669887          0.18143292          0.11378511
          2.10000000          1.98563559          0.17725299          0.11282899
          2.15000000          1.98471760          0.18249432          0.11530016
          2.20000000          1.98366050          0.17837504          0.11448426
          2.25000000          1.98264701          0.19719379          0.12236154
          2.30000000          1.98157579          0.17969659          0.11675778
          2.35000000          1.98049860          0.21223848          0.13066275
          2.40000000          1.97940329          0.18252628          0.12010587
          2.45000000          1.97827462          0.21590087          0.13436784
          2.50000000          1.97715098          0.19098759          0.12480917
          2.55000000          1.97597691          0.22411602          0.13876170
          2.60000000          1.97482348          0.18912370          0.12429450
          2.65000000          1.97360795          0.22376981          0.13857430
          2.70000000          1.97242200          0.18900841          0.12429272
          2.75000000          1.97116885          0.22389357          0.13888316
          2.80000000          1.96997734          0.18962999          0.12499971
          2.85000000          1.96868199          0.22423300          0.13967147
          2.90000000          1.96730514          0.19034042          0.12600638
          2.95000000          1.96601893          0.22459307          0.14061701
          3.00000000          1.96490345          0.19103698          0.12706439
          3.05000000          1.96306854          0.22494918          0.14157303
          3.10000000          1.96207689          0.19171572          0.12815877
          3.15000000          1.96006784          0.22530946          0.14266413
          3.20000000          1.95913637          0.19241209          0.12952115
          3.25000000          1.95705266          0.22576491          0.14420982
          3.30000000          1.95614796          0.19342399          0.13155085
          3.35000000          1.95402333          0.22690259          0.14662981
          3.40000000          1.95312865          0.19593891          0.13452225
          3.45000000          1.95097321          0.23019137          0.14990408
          3.50000000          1.95008066          0.20323483          0.13868085
          3.55000000          1.94789821          0.23729914          0.15382905
          3.60000000          1.94700400          0.20129202          0.13798511
          3.65000000          1.94479664          0.23675839          0.15343202
          3.70000000          1.94389605          0.20083627          0.13769509
          3.75000000          1.94166624          0.23669826          0.15348106
          3.80000000          1.94078543          0.20116589          0.13812280
          3.85000000          1.93852694          0.23689998          0.15405141
          3.90000000          1.93747808          0.20162516          0.13889926
          3.95000000          1.93524483          0.23713705          0.15481016
          4.00000000          1.93449049          0.20208690          0.13974314
          4.05000000          1.93130705          0.23737620          0.15559814
          4.10000000          1.93081104          0.20254930          0.14067215
          4.15000000          1.92751671          0.23763927          0.15659920
          4.20000000          1.92711729          0.20308436          0.14197338
          4.25000000          1.92379530          0.23808349          0.15816199
          4.30000000          1.92344390          0.20412628          0.14402084
          4.35000000          1.92012271          0.23943232          0.16060125
          4.40000000          1.91979634          0.20690149          0.14690853
          4.45000000          1.91647927          0.24291796          0.16370225
          4.50000000          1.91616734          0.21389101          0.15073497
          4.55000000          1.91285285          0.24943254          0.16723840
          4.60000000          1.91255013          0.21248339          0.15007258
          4.65000000          1.90923651          0.24908854          0.16686403
          4.70000000          1.90893795          0.21209604          0.14977820
          4.75000000          1.90563740          0.24902576          0.16688984
          4.80000000          1.90535468          0.21231020          0.15013168
          4.85000000          1.90206129          0.24916720          0.16738783
          4.90000000          1.90165539          0.21263282          0.15080069
          4.95000000          1.89840281          0.24934032          0.16805016
          5.00000000          1.89820767          0.21296159          0.15152298
          5.05000000          1.89431062          0.24951831          0.16874616
          5.10000000          1.89416117          0.21330222          0.15235591
          5.15000000          1.89053479          0.24973307          0.16968658
          5.20000000          1.89027973          0.21374368          0.15359050
          5.25000000          1.88675725          0.25016020          0.17120360
          5.30000000          1.88645206          0.21473351          0.15556114
          5.35000000          1.88299074          0.25149417          0.17355172
          5.40000000          1.88265934          0.21736226          0.15829944
          5.45000000          1.87923862          0.25476212          0.17648613
          5.50000000          1.87889157          0.22377573          0.16191235
          5.55000000          1.87550038          0.26073309          0.17983828
          5.60000000          1.87514288          0.22240987          0.16121670
          5.65000000          1.87176847          0.26036066          0.17942549
          5.70000000          1.87140497          0.22196506          0.16086963
          5.75000000          1.86810253          0.26026344          0.17940795
          5.80000000          1.86772031          0.22210791          0.16116936
          5.85000000          1.86428298          0.26037551          0.17986465
          5.90000000          1.86387680          0.22236804          0.16178334
          5.95000000          1.86088049          0.26052281          0.18047499
          6.00000000          1.86033659          0.22263805          0.16243929
          6.05000000          1.85742106          0.26067865          0.18112745
          6.10000000          1.85648627          0.22293665          0.16324276
          6.15000000          1.85370670          0.26089660          0.18207826
          6.20000000          1.85265651          0.22339505          0.16451307
          6.25000000          1.84995577          0.26141231          0.18366608
          6.30000000          1.84885821          0.22455445          0.16655358
          6.35000000          1.84620810          0.26298503          0.18606801
          6.40000000          1.84508820          0.22746007          0.16928063
          6.45000000          1.84247355          0.26642153          0.18892375
          6.50000000          1.84134169          0.23369087          0.17270287
          6.55000000          1.83875408          0.27199342          0.19203027
          6.60000000          1.83761517          0.23274652          0.17209743
          6.65000000          1.83504429          0.27179985          0.19169852
          6.70000000          1.83390242          0.23244159          0.17183251
          6.75000000          1.83139267          0.27174890          0.19173137
          6.80000000          1.83023682          0.23258077          0.17214375
          6.85000000          1.82745821          0.27185587          0.19217705
          6.90000000          1.82637487          0.23281316          0.17272235
          6.95000000          1.82413754          0.27199132          0.19274814
          7.00000000          1.82255102          0.23305581          0.17334066
          7.05000000          1.82046066          0.27213888          0.19337968
          7.10000000          1.81860777          0.23333566          0.17412868
          7.15000000          1.81663988          0.27235808          0.19432566
          7.20000000          1.81471236          0.23379404          0.17539111
          7.25000000          1.81281580          0.27289268          0.19590043
          7.30000000          1.81086841          0.23496080          0.17739814
          7.35000000          1.80901661          0.27445690          0.19824815
          7.40000000          1.80706601          0.23776799          0.18004206
          7.45000000          1.80524528          0.27773067          0.20100496
          7.50000000          1.80329695          0.24359399          0.18333434
          7.55000000          1.80149990          0.28290741          0.20398426
          7.60000000          1.79955579          0.24272260          0.18274139
          7.65000000          1.79777360          0.28271673          0.20365941
          7.70000000          1.79583571          0.24242666          0.18248683
          7.75000000          1.79410546          0.28266073          0.20369510
          7.80000000          1.79216300          0.24254852          0.18278951
          7.85000000          1.79020719          0.28275985          0.20412498
          7.90000000          1.78833566          0.24276345          0.18333946
          7.95000000          1.78683652          0.28288764          0.20466401
          8.00000000          1.78416041          0.24299098          0.18393166
