                Time     Total_Variation            L2_Error
          1.04375000          3.63288021          0.10243352
          1.05000000          3.62598897          0.10913471
          1.05625000          3.63541981          0.10269763
          1.06250000          3.63095896          0.10939460
          1.06875000          3.63881369          0.10295921
          1.07500000          3.63719026          0.10965194
          1.08125000          3.64247018          0.10321831
          1.08750000          3.64193505          0.10990679
          1.09375000          3.64672986          0.10347499
          1.10000000          3.64499782          0.11015921
          1.10625000          3.65180125          0.10372929
          1.11250000          3.64763480          0.11040926
          1.11875000          3.65681940          0.10398128
          1.12500000          3.65112794          0.11065697
          1.13125000          3.66348410          0.10423098
          1.13750000          3.65385135          0.11090240
          1.14375000          3.66844044          0.10447846
          1.15000000          3.65585310          0.11114560
          1.15625000          3.67200063          0.10472374
          1.16250000          3.65787097          0.11138659
          1.16875000          3.67353037          0.10496688
          1.17500000          3.66536347          0.11162544
          1.18125000          3.67399590          0.10520791
          1.18750000          3.67375182          0.11186219
          1.19375000          3.67288896          0.11422825
          1.20000000          3.68147259          0.11209686
          1.20625000          3.67230508          0.12139577
          1.21250000          3.68864344          0.11232951
          1.21875000          3.67225838          0.12160857
          1.22500000          3.69669328          0.11256017
          1.23125000          3.67228053          0.12181964
          1.23750000          3.70352419          0.11278888
          1.24375000          3.67265247          0.12202901
          1.25000000          3.70908928          0.11301568
          1.25625000          3.67491699          0.12223671
          1.26250000          3.71286935          0.11324060
          1.26875000          3.67829036          0.12244277
          1.27500000          3.71533979          0.11346367
          1.28125000          3.68332713          0.12264722
          1.28750000          3.71583570          0.11368492
          1.29375000          3.68750609          0.12285009
          1.30000000          3.71666354          0.11390440
          1.30625000          3.69511026          0.12305139
          1.31250000          3.71783770          0.11412212
          1.31875000          3.70339703          0.12325116
          1.32500000          3.71722444          0.11433811
          1.33125000          3.71177692          0.12344941
          1.33750000          3.71752398          0.11455240
          1.34375000          3.71813668          0.12364615
          1.35000000          3.71781852          0.11476498
          1.35625000          3.72251191          0.12384138
          1.36250000          3.71692163          0.11497584
          1.36875000          3.72678563          0.12403506
          1.37500000          3.71626266          0.11518493
          1.38125000          3.73080454          0.12422714
          1.38750000          3.71857916          0.11539218
          1.39375000          3.73543923          0.12441752
          1.40000000          3.72105647          0.11559748
          1.40625000          3.73993332          0.12460617
          1.41250000          3.72222187          0.11580087
          1.41875000          3.74386078          0.12479310
          1.42500000          3.72305788          0.11600261
          1.43125000          3.74825412          0.12497943
          1.43750000          3.72436767          0.11620460
          1.44375000          3.75239735          0.12516643
          1.45000000          3.72738857          0.11640968
          1.45625000          3.75540487          0.12536245
          1.46250000          3.73247469          0.11662940
          1.46875000          3.75697377          0.12557469
          1.47500000          3.73724551          0.11687768
          1.48125000          3.75769117          0.12581199
          1.48750000          3.74322917          0.11716024
          1.49375000          3.75870052          0.12627656
          1.50000000          3.74862633          0.11774689
          1.50625000          3.75938768          0.12592797
          1.51250000          3.75350764          0.11735746
          1.51875000          3.75868602          0.12556808
          1.52500000          3.75888184          0.11699536
          1.53125000          3.75730301          0.12527248
          1.53750000          3.76351800          0.11674196
          1.54375000          3.76000971          0.12511066
          1.55000000          3.76699688          0.11665746
          1.55625000          3.76340041          0.12511852
          1.56250000          3.77155757          0.11675311
          1.56875000          3.76384086          0.12527831
          1.57500000          3.77239448          0.11698019
          1.58125000          3.77562976          0.12552118
          1.58750000          3.78069914          0.11724792
          1.59375000          3.76503779          0.12575706
          1.60000000          3.76982399          0.11746642
          1.60625000          3.77238083          0.12591944
          1.61250000          3.76391490          0.11759242
          1.61875000          3.77812643          0.12599877
          1.62500000          3.76707930          0.11764870
          1.63125000          3.78385963          0.12604179
          1.63750000          3.76856320          0.11770235
          1.64375000          3.78780931          0.12611483
          1.65000000          3.77042357          0.11781508
          1.65625000          3.79029540          0.12625655
          1.66250000          3.77844906          0.11800157
          1.66875000          3.79750760          0.12645527
          1.67500000          3.77882323          0.11822723
          1.68125000          3.78329273          0.12666693
          1.68750000          3.79467555          0.11844359
          1.69375000          3.79915274          0.12685476
          1.70000000          3.79860099          0.11862745
          1.70625000          3.79968482          0.12701435
          1.71250000          3.80072604          0.11879009
          1.71875000          3.80136918          0.12716536
          1.72500000          3.80503463          0.11895450
          1.73125000          3.80151553          0.12732442
