                   x         u_numerical        u_analytical
         -0.95000000          0.00332682          0.00000000
         -0.85000000          0.00752688          0.00000000
         -0.75000000          0.03153857          0.00000000
         -0.65000000          0.11430347          0.00000000
         -0.55000000          0.30640030          0.00000000
         -0.45000000          0.58540211          1.00000000
         -0.35000000          0.82395152          1.00000000
         -0.25000000          0.94656685          1.00000000
         -0.15000000          0.98754180          1.00000000
         -0.05000000          0.99642516          1.00000000
          0.05000000          0.99703779          1.00000000
          0.15000000          0.99311676          1.00000000
          0.25000000          0.96968206          1.00000000
          0.35000000          0.88697948          1.00000000
          0.45000000          0.69166464          1.00000000
          0.55000000          0.40767160          0.00000000
          0.65000000          0.16917316          0.00000000
          0.75000000          0.05011647          0.00000000
          0.85000000          0.01157932          0.00000000
          0.95000000          0.00372381          0.00000000
