                   x         u_numerical        u_analytical
         -0.95000000         -0.08381486          0.00000000
         -0.85000000         -0.02757940          0.00000000
         -0.75000000          0.08415386          0.00000000
         -0.65000000          0.24684252          0.00000000
         -0.55000000          0.44250818          0.00000000
         -0.45000000          0.64327467          1.00000000
         -0.35000000          0.82167240          1.00000000
         -0.25000000          0.96014968          1.00000000
         -0.15000000          1.05293096          1.00000000
         -0.05000000          1.09981435          1.00000000
          0.05000000          1.09824754          1.00000000
          0.15000000          1.04129668          1.00000000
          0.25000000          0.92383443          1.00000000
          0.35000000          0.75189312          1.00000000
          0.45000000          0.54675842          1.00000000
          0.55000000          0.34005758          0.00000000
          0.65000000          0.16016495          0.00000000
          0.75000000          0.02813822          0.00000000
          0.85000000         -0.06009625          0.00000000
          0.95000000         -0.08717322          0.00000000
