                Time     Total_Variation            L2_Error
          1.04375000          2.00644531          0.06796445
          1.05000000          2.00648437          0.05667944
          1.05625000          2.00652344          0.06796619
          1.06250000          2.00656250          0.05668389
          1.06875000          2.00660156          0.06796787
          1.07500000          2.00664063          0.05668813
          1.08125000          2.00667969          0.06796949
          1.08750000          2.00671875          0.05669219
          1.09375000          2.00675781          0.06797105
          1.10000000          2.00679687          0.05669607
          1.10625000          2.00683594          0.06797256
          1.11250000          2.00687500          0.05669979
          1.11875000          2.00691406          0.06797402
          1.12500000          2.00695312          0.05670335
          1.13125000          2.00699219          0.06797544
          1.13750000          2.00703125          0.05670677
          1.14375000          2.00707031          0.06797682
          1.15000000          2.00710937          0.05671005
          1.15625000          2.00714844          0.06797817
          1.16250000          2.00718750          0.05671320
          1.16875000          2.00722656          0.06797949
          1.17500000          2.00726562          0.05671623
          1.18125000          2.00730469          0.06798078
          1.18750000          2.00734375          0.05671916
          1.19375000          2.00738281          0.06798205
          1.20000000          2.00742188          0.05672198
          1.20625000          2.00746094          0.06093871
          1.21250000          2.00750000          0.05672470
          1.21875000          2.00753906          0.06094085
          1.22500000          2.00757812          0.05672733
          1.23125000          2.00761719          0.06094294
          1.23750000          2.00765625          0.05672987
          1.24375000          2.00769531          0.06094497
          1.25000000          2.00773438          0.05673234
          1.25625000          2.00777344          0.06094694
          1.26250000          2.00781250          0.05673474
          1.26875000          2.00785156          0.06094887
          1.27500000          2.00789062          0.05673707
          1.28125000          2.00792969          0.06095075
          1.28750000          2.00796875          0.05673934
          1.29375000          2.00800781          0.06095258
          1.30000000          2.00804687          0.05674155
          1.30625000          2.00808594          0.06095438
          1.31250000          2.00812500          0.05674371
          1.31875000          2.00816406          0.06095614
          1.32500000          2.00820312          0.05674582
          1.33125000          2.00824219          0.06095787
          1.33750000          2.00828125          0.05674789
          1.34375000          2.00832031          0.06095957
          1.35000000          2.00835937          0.05674991
          1.35625000          2.00839843          0.06096125
          1.36250000          2.00843749          0.05675191
          1.36875000          2.00847654          0.06096290
          1.37500000          2.00851558          0.05675387
          1.38125000          2.00855458          0.06096454
          1.38750000          2.00859349          0.05675580
          1.39375000          2.00863217          0.06096615
          1.40000000          2.00867033          0.05675770
          1.40625000          2.00870720          0.06096776
          1.41250000          2.00874096          0.05675958
          1.41875000          2.00876723          0.06096934
          1.42500000          2.00877537          0.05676143
          1.43125000          2.00877029          0.06097089
          1.43750000          2.00876266          0.05676320
          1.44375000          2.00876138          0.06097228
          1.45000000          2.00875385          0.05676460
          1.45625000          2.00875313          0.06097404
          1.46250000          2.00874831          0.05676504
          1.46875000          2.00874648          0.06096284
          1.47500000          2.00874341          0.05673705
          1.48125000          2.00874074          0.06106693
          1.48750000          2.00873883          0.05711496
          1.49375000          2.00873563          0.06276798
          1.50000000          2.00873430          0.05990329
          1.50625000          2.00873081          0.06007457
          1.51250000          2.00872994          0.05831995
          1.51875000          2.00872626          0.05903868
          1.52500000          2.00872578          0.05823476
          1.53125000          2.00872199          0.05901229
          1.53750000          2.00872182          0.05828718
          1.54375000          2.00871847          0.05905247
          1.55000000          2.00871834          0.05830785
          1.55625000          2.00871565          0.05907633
          1.56250000          2.00871532          0.05831781
          1.56875000          2.00871298          0.05908958
          1.57500000          2.00871251          0.05832453
          1.58125000          2.00915969          0.05909987
          1.58750000          2.00933321          0.05833554
          1.59375000          2.00953950          0.05911154
          1.60000000          2.00957936          0.05834084
          1.60625000          2.00963414          0.05911982
          1.61250000          2.00964896          0.05834629
          1.61875000          2.00966142          0.05912729
          1.62500000          2.00967431          0.05835168
          1.63125000          2.00967432          0.05913408
          1.63750000          2.00969942          0.05835524
          1.64375000          2.00969288          0.05913895
          1.65000000          2.00972807          0.05835738
          1.65625000          2.00972459          0.05914187
          1.66250000          2.00976091          0.05835871
          1.66875000          2.00976942          0.05914326
          1.67500000          2.00980174          0.05835952
          1.68125000          2.00981921          0.05914355
          1.68750000          2.00984804          0.05836004
