                Time     Total_Variation            L2_Error            L1_Error
          3.17500000          1.99999865          0.15326356          0.05442360
          3.20000000          1.99999864          0.11761095          0.04482557
          3.22500000          1.99999860          0.15325328          0.05442993
          3.25000000          1.99999859          0.11762552          0.04484013
          3.27500000          1.99999855          0.15324405          0.05443903
          3.30000000          1.99999854          0.11763931          0.04486119
          3.32500000          1.99999850          0.15323583          0.05446558
          3.35000000          1.99999849          0.11765426          0.04492422
          3.37500000          1.99999845          0.15323688          0.05459509
          3.40000000          1.99999844          0.11770191          0.04523676
          3.42500000          1.99999841          0.15339292          0.05532908
          3.45000000          1.99999840          0.11938338          0.04674220
          3.47500000          1.99999836          0.15688876          0.05733344
          3.50000000          1.99999835          0.12640827          0.04890388
          3.52500000          1.99999831          0.16429613          0.05962476
          3.55000000          1.99999830          0.12462516          0.04779268
          3.57500000          1.99999826          0.16338096          0.05853064
          3.60000000          1.99999825          0.12447318          0.04738077
          3.62500000          1.99999821          0.16341504          0.05838653
          3.65000000          1.99999820          0.12453080          0.04732494
          3.67500000          1.99999816          0.16341811          0.05835865
          3.70000000          1.99999815          0.12456554          0.04732241
          3.72500000          1.99999811          0.16341355          0.05835365
          3.75000000          1.99999810          0.12458597          0.04732779
          3.77500000          1.99999806          0.16340727          0.05835325
          3.80000000          1.99999805          0.12459978          0.04733397
          3.82500000          1.99999802          0.16340119          0.05835399
          3.85000000          1.99999801          0.12460996          0.04733969
          3.87500000          1.99999797          0.16339549          0.05835503
          3.90000000          1.99999796          0.12461818          0.04734498
          3.92500000          1.99999792          0.16339029          0.05835622
          3.95000000          1.99999791          0.12462525          0.04734992
          3.97500000          1.99999787          0.16338563          0.05835752
          4.00000000          1.99999786          0.12463156          0.04735459
          4.02500000          1.99999780          0.16338149          0.05835888
          4.05000000          1.99999780          0.12463731          0.04735899
          4.07500000          1.99999774          0.16337780          0.05836029
          4.10000000          1.99999774          0.12464261          0.04736317
          4.12500000          1.99999769          0.16337450          0.05836173
          4.15000000          1.99999769          0.12464754          0.04736718
          4.17500000          1.99999763          0.16337154          0.05836329
          4.20000000          1.99999763          0.12465213          0.04737126
          4.22500000          1.99999758          0.16336887          0.05836555
          4.25000000          1.99999757          0.12465642          0.04737690
          4.27500000          1.99999752          0.16336647          0.05837203
          4.30000000          1.99999752          0.12466049          0.04739265
          4.32500000          1.99999746          0.16336456          0.05840340
          4.35000000          1.99999746          0.12466799          0.04746845
          4.37500000          1.99999741          0.16337769          0.05858042
          4.40000000          1.99999741          0.12473502          0.04789754
          4.42500000          1.99999735          0.16371361          0.05961111
          4.45000000          1.99999735          0.12729028          0.04962148
          4.47500000          1.99999730          0.16779187          0.06166604
          4.50000000          1.99999730          0.13496591          0.05186321
          4.52500000          1.99999724          0.17528388          0.06392671
          4.55000000          1.99999724          0.13394842          0.05082815
          4.57500000          1.99999719          0.17508473          0.06327588
          4.60000000          1.99999718          0.13399021          0.05060527
          4.62500000          1.99999713          0.17499713          0.06313119
          4.65000000          1.99999713          0.13397916          0.05055602
          4.67500000          1.99999708          0.17495096          0.06309265
          4.70000000          1.99999707          0.13396023          0.05054091
          4.72500000          1.99999702          0.15365910          0.05609059
          4.75000000          1.99999702          0.13394568          0.05053413
          4.77500000          1.99999697          0.15363915          0.05608262
          4.80000000          1.99999696          0.13393543          0.05053017
          4.82500000          1.99999691          0.11456607          0.04560211
          4.85000000          1.99999691          0.13392815          0.05052755
          4.87500000          1.99999686          0.11456639          0.04560162
          4.90000000          1.99999685          0.13392286          0.05052570
          4.92500000          1.99999680          0.11456647          0.04560126
          4.95000000          1.99999680          0.13391890          0.05052435
          4.97500000          1.99999675          0.11456643          0.04560099
          5.00000000          1.99999675          0.13391588          0.05052333
          5.02500000          1.99999670          0.11456633          0.04560077
          5.05000000          1.99999669          0.13391353          0.05052255
          5.07500000          1.99999664          0.11456620          0.04560060
          5.10000000          1.99999663          0.13391166          0.05052195
          5.12500000          1.99999659          0.11456606          0.04560049
          5.15000000          1.99999657          0.13391016          0.05052154
          5.17500000          1.99999653          0.11456592          0.04560055
