                   x         u_numerical        u_analytical
         -0.95000000          0.00061255          0.00000000
         -0.85000000          0.00125252          0.00000000
         -0.75000000          0.00670477          0.00000000
         -0.65000000          0.04153671          0.00000000
         -0.55000000          0.23527118          0.00000000
         -0.45000000          0.59758536          1.00000000
         -0.35000000          0.90829063          1.00000000
         -0.25000000          0.98524318          1.00000000
         -0.15000000          0.99768197          1.00000000
         -0.05000000          0.99938299          1.00000000
          0.05000000          0.99948403          1.00000000
          0.15000000          0.99893834          1.00000000
          0.25000000          0.99409265          1.00000000
          0.35000000          0.96243286          1.00000000
          0.45000000          0.77015842          1.00000000
          0.55000000          0.38681417          0.00000000
          0.65000000          0.08250595          0.00000000
          0.75000000          0.01310218          0.00000000
          0.85000000          0.00212144          0.00000000
          0.95000000          0.00067904          0.00000000
